"","M_DONOR_1","M_DONOR_2","M_DONOR_3","M_DONOR_4","M_DONOR_6","M_DONOR_7","M_DONOR_8","M_DONOR_9"
"Benzene, 1-ethyl-3-methyl-",0,0.1889423,6.26322788666667,0,0,0,0,0
"Benzene, 1-ethyl-4-methyl-",0,0,2.05137146133333,0,0,0,0,0
"Benzene, 1-methoxy-2-methyl-",226104,0.005038007,0,0,0,0,0,0
"Benzene, 1-methoxy-4-(1-methylethyl)-",0,0,0,0,0,0,0.00373222433333333,0
"Benzene, 1-methyl-3-(1-methylethenyl)-",0,0,0,0,0,0.056550998,0,0
"Benzene, 1-methyl-3-(1-methylethyl)-",0,1.076784,0.983198196666667,0,0,0,0.387029133333333,0.00554603746666667
"Benzene, 1-methyl-3-propyl-",7681780,0,0,0,0,0,0,0.0664096466333333
"Benzene, 1-methyl-4-(1-methylethenyl)-",0,0.12182438,0,0,0,0,0,0
"Benzene, 1-methyl-4-(1-methylpropyl)-",0,0,0.169330974666667,0.006924342,0.00806934406666667,0,0,0.0195723890666667
"Benzene, 1-methyl-4-butyl",1630474.33333333,0.00623506833333333,0,0,0,0,0,0
"Benzene, 1-methyl-4-propyl-",3525331.66666667,0,0,0,0,0,0,0.0550575291666667
"Benzene, 1,1'-propylidenebis-",0,0,0,0,0,0.000408650733333333,0,0
"Benzene, 1,2-difluoro-",0,0.00768402633333333,0,0,0,0,0,0
"Benzene, 1,2,3,4-tetrafluoro-",0,0,0,0.0255377231,0,0,0,0
"Benzene, 1,2,3,4-tetramethyl-",0,0,0.411672838333333,0,0,0,0,0
"Benzene, 1,2,4,5-tetrafluoro-3-(trifluoromethyl)-",0,0,0,0,0.00155916983333333,0,0,0
"Benzene, 1,2,4,5-tetramethyl-",0,0,0,0,0.0362271071333333,0,0.0201711133333333,0
"Benzene, 1,3-bis(1,1-dimethylethyl)-",997764.333333333,0.0679510033333333,0.818190661,0.0302967794666667,0.0101952237666667,0.00709788466666667,0.0150288533333333,0.0125828916333333
"Benzene, 1,3-dibromo-",398672,0,0,0,0,0,0,0
"Benzene, 1,3-dibromo-5-chloro-",166463,0,0,0,0,0,0,0
"Benzene, 1,3-diethyl-",0,0,0,0,0.0140330547666667,0,0,0
"Benzene, 1,3-diethyl-5-methyl-",0,0,0.082444912,0.00303740323333333,0.00475062226666667,0,0,0.0108164418
"Benzene, 1,3,5-tri-tert-butyl-",0,0,0,0,0,0.00301274166666667,0,0
"Benzene, 1,4-dichloro-",0,0.157326833333333,0,0,0.0470041092666667,0,0,0
"Benzene, 1,4-dimethyl-2-(2-methylpropyl)-",0,0,0,0,0,0,0,0.00149436873333333
"Benzene, 2-chloro-5-methoxy-1,3-dimethyl-",0,0,0,0,0,0.000902564066666667,0,0
"Benzene, 2-ethyl-1,4-dimethyl-",5180699,0,0,0,0,0,0,0.0787084452
"Benzene, 2-methoxy-4-methyl-1-(1-methylethyl)-",0,0.003357971,0,0,0,0.00787611333333333,0.003802575,0
"Benzene, 2-propenyl-",0,0,0.078452274,0,0,0,0,0.0023353549
"Benzene, 4-ethenyl-1,2-dimethyl-",0,0,0,0,0.0124182978,0.0474471433333333,0,0
"Benzene, chloro-",0,0,0,0,0,0,0.03859063,0
"Benzene, pentafluoro-",8494339.33333333,0,0,0,0,0,0,0
"Benzene, pentyl-",0,0,0.103206771,0,0,0,0,0.0237625033333333
"Benzene, propoxy-",0,4.118834,0,0,0,0,0,0
"Benzene, propyl-",0,0,0,0,0,0,0.0277132533333333,0
"Benzene, tert-butyl-",0,0,0,0,0,0,0,0.0022514249
"Benzeneacetic acid, methyl ester",0,0,0.106386290666667,0,0,0,0,0
"Benzeneethanamine, 3-fluoro-β,5-dihydroxy-N-methyl-",622969,0,0,0,0.00251428578,0,0,0
"Benzoic acid, 2-methylpropyl ester",0,0,0.299388193333333,0,0,0,0,0
"Benzoic acid, 4-methoxy-, phenyl ester",0,0,0,0,0,0,0,0.0012516563
"Benzoic acid, ethyl ester",0,0.0612791,0,0,0,0,0,0
"Benzoic acid, p-(diethylamino)-, 9-borabicyclo[3.3.1]non-9-yl ester",0,0,0,0,0.0006367322,0,0,0
"Benzoic anhydride, 4,4',6,6'-tetramethoxy-2,2'-dimethyl-",83187.6666666667,0,0,0,0,0,0,0
