"","D1","D2_d0","D2_d1","D2_d2","D2_d3","D2_d4","D3_d0","D3_d2","D3_d3","D3_d4","D4_d0","D4_d1","D4_d3","D6_d0","D6_d1","D6_d2","D6_d3","D6_d4","D6_d5","D7_d0","D7_d1","D7_d2","D7_d4","D7_d5","D8_d0","D8_d1","D8_d2","D8_d3","D8_d4","D8_d5","D9_d0","D9_d1","D9_d2","D9_d3","D9_d4","D9_d5"
"1-Pentanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128841232,0,0,0.019220005,0,0,0,0,0,0.0132426866666667,0,0,0.02905542,0,0
"1-Pentanol, 2-ethyl-4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253523526666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentanol, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003151286,0,0,0,0,0,0
"1-Pentanone, 1-(2-furanyl)-",0,0,0,0,0,4.06497e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Penten-3-ol",0,0,0.03386736945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Penten-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000478647466666667,0,0.002698622
"1-Penten-3-one, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415868,0,0,0,0,0,0,0
"1-Penten-3-one, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00250139966666667,0
"1-Pentene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003487619,0,0,0,0,0,0
"1-Pentene, 2,3-dimethyl-",0,0,0,0,0,0.005059978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0,0,0,0,0,0,0.0905787108333333,0,0,0,0,0,0,0,0,0.1196454,0.1357396507,0.0940836731,0.0777315596666667,0,0,0,0.0648450995,0.018007814,0,0,0,0,0,0,0,0
"1-Propanesulfonyl chloride",0.0008238837,0,0,0,0.0039932480975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292169995,0,0,0,0,0,0,0,0,0.0003446822,0.001306482,0,0,0,0,0,0
"1-Propanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1955155,0.157448,0,0,0,0,0,0
"1-Propanol, 2-methyl-",0.0443858269333333,0.0103497873666667,0,0,0.023650177075,0.02669557,0,0,0,0,0,0.00250514833333333,0,0,0,0,0,0,0,0,0,0,0.0058057937,0,0.008815039,0,0,0,0.08521992,0.1060699,0,0,0,0,0,0.07616819
"1-Propanol, 2,2'-oxybis-",0,0,0,0,0,0.009575654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
